customer_id,satisfaction_score,survey_date,tier,points
C084,5.0,2023-12-01,,
C054,4.0,2023-12-02,Bronze,8920.0
C071,10.0,2023-12-03,Bronze,9414.0
C046,6.0,2023-12-04,Bronze,3499.0
C045,2.0,2023-12-05,Silver,8394.0
C040,5.0,2023-12-06,,
C023,10.0,2023-12-07,,
C081,3.0,2023-12-08,,
C011,6.0,2023-12-09,,
C001,7.0,2023-12-10,Platinum,1903.0
C019,4.0,2023-12-11,,
C031,5.0,2023-12-12,Platinum,383.0
C074,7.0,2023-12-13,,
C034,6.0,2023-12-14,Gold,8547.0
C091,8.0,2023-12-15,Bronze,7936.0
C005,8.0,2023-12-16,Gold,5476.0
C077,1.0,2023-12-17,Bronze,397.0
C078,6.0,2023-12-18,Silver,3083.0
C013,7.0,2023-12-19,Gold,337.0
C032,10.0,2023-12-20,Platinum,6418.0
C056,2.0,2023-12-21,,
C089,1.0,2023-12-22,Platinum,2662.0
C027,6.0,2023-12-23,Silver,3233.0
C043,4.0,2023-12-24,Silver,785.0
C070,2.0,2023-12-25,Platinum,5306.0
C016,4.0,2023-12-26,,
C041,8.0,2023-12-27,,
C097,9.0,2023-12-28,,
C010,4.0,2023-12-29,Silver,5636.0
C073,3.0,2023-12-30,Platinum,2953.0
C012,8.0,2023-12-31,Platinum,7677.0
C048,9.0,2024-01-01,,
C086,3.0,2024-01-02,Silver,2415.0
C029,10.0,2024-01-03,Bronze,6779.0
C094,10.0,2024-01-04,,
C006,10.0,2024-01-05,Platinum,1984.0
C067,9.0,2024-01-06,,
C066,4.0,2024-01-07,Silver,308.0
C036,4.0,2024-01-08,Bronze,3943.0
C017,4.0,2024-01-09,Bronze,5603.0
C050,8.0,2024-01-10,,
C035,10.0,2024-01-11,,
C008,7.0,2024-01-12,,
C096,2.0,2024-01-13,Bronze,8194.0
C028,9.0,2024-01-14,,
C020,4.0,2024-01-15,Silver,5667.0
C082,3.0,2024-01-16,Bronze,9613.0
C026,8.0,2024-01-17,,
C063,8.0,2024-01-18,Bronze,869.0
C014,8.0,2024-01-19,,
C009,,,Gold,9815.0
C083,,,Silver,2586.0
C064,,,Gold,9296.0
C051,,,Platinum,805.0
C024,,,Platinum,4053.0
C061,,,Platinum,4081.0
C025,,,Silver,7315.0
C039,,,Platinum,308.0
C057,,,Bronze,7763.0
C076,,,Silver,9840.0
C030,,,Gold,9698.0
C092,,,Bronze,5834.0
C042,,,Platinum,7609.0
C022,,,Silver,2400.0
C085,,,Gold,5416.0
C088,,,Bronze,9298.0
C098,,,Silver,9834.0
C021,,,Gold,2756.0
C090,,,Gold,1723.0
C038,,,Silver,3834.0
C060,,,Gold,9893.0
C002,,,Silver,6403.0
C075,,,Bronze,7478.0
C080,,,Bronze,4662.0
C015,,,Silver,9199.0
C055,,,Platinum,4023.0
C052,,,Silver,1305.0
C007,,,Bronze,4841.0
C099,,,Silver,1567.0
C044,,,Gold,5824.0
